dataset,tool,rate,seed,status,seconds,precision,recall,f1,n_detected
bank_marketing_full,ZTLF (ours),0.01,20260803,ok,0.166,1.0,0.736006,0.84793,3027
bank_marketing_full,Pandera,0.01,20260803,ok,0.602,1.0,0.736006,0.84793,3027
bank_marketing_full,GreatExpectations,0.01,20260803,ok,3.327,1.0,0.624297,0.768698,2570
bank_marketing_full,SodaCore/DuckDB,0.01,20260803,ok,0.295,1.0,0.736006,0.84793,3027
bank_marketing_full,PyDeequ,0.01,20260803,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.01,20260804,ok,0.16,1.0,0.73643,0.848212,3024
bank_marketing_full,Pandera,0.01,20260804,ok,0.604,1.0,0.73643,0.848212,3024
bank_marketing_full,GreatExpectations,0.01,20260804,ok,4.217,1.0,0.623961,0.768443,2564
bank_marketing_full,SodaCore/DuckDB,0.01,20260804,ok,0.487,1.0,0.73643,0.848212,3024
bank_marketing_full,PyDeequ,0.01,20260804,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.01,20260805,ok,0.333,1.0,0.733839,0.846491,3014
bank_marketing_full,Pandera,0.01,20260805,ok,1.086,1.0,0.733839,0.846491,3014
bank_marketing_full,GreatExpectations,0.01,20260805,ok,3.658,1.0,0.621694,0.766722,2556
bank_marketing_full,SodaCore/DuckDB,0.01,20260805,ok,0.325,1.0,0.733839,0.846491,3014
bank_marketing_full,PyDeequ,0.01,20260805,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.01,20260806,ok,0.161,1.0,0.733513,0.846274,3011
bank_marketing_full,Pandera,0.01,20260806,ok,0.601,1.0,0.733513,0.846274,3011
bank_marketing_full,GreatExpectations,0.01,20260806,ok,3.529,1.0,0.620495,0.765809,2550
bank_marketing_full,SodaCore/DuckDB,0.01,20260806,ok,0.31,1.0,0.733513,0.846274,3011
bank_marketing_full,PyDeequ,0.01,20260806,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.01,20260807,ok,0.161,1.0,0.73371,0.846405,3006
bank_marketing_full,Pandera,0.01,20260807,ok,0.616,1.0,0.73371,0.846405,3006
bank_marketing_full,GreatExpectations,0.01,20260807,ok,4.915,1.0,0.621834,0.766828,2551
bank_marketing_full,SodaCore/DuckDB,0.01,20260807,ok,0.541,1.0,0.73371,0.846405,3006
bank_marketing_full,PyDeequ,0.01,20260807,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.05,20260803,ok,0.275,1.0,0.734323,0.846812,15614
bank_marketing_full,Pandera,0.05,20260803,ok,1.281,1.0,0.734323,0.846812,15614
bank_marketing_full,GreatExpectations,0.05,20260803,ok,4.146,1.0,0.622293,0.767177,13245
bank_marketing_full,SodaCore/DuckDB,0.05,20260803,ok,0.315,1.0,0.734323,0.846812,15614
bank_marketing_full,PyDeequ,0.05,20260803,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.05,20260804,ok,0.201,1.0,0.737153,0.848691,15655
bank_marketing_full,Pandera,0.05,20260804,ok,1.294,1.0,0.737153,0.848691,15655
bank_marketing_full,GreatExpectations,0.05,20260804,ok,4.913,1.0,0.625343,0.769491,13292
bank_marketing_full,SodaCore/DuckDB,0.05,20260804,ok,0.611,1.0,0.737153,0.848691,15655
bank_marketing_full,PyDeequ,0.05,20260804,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.05,20260805,ok,0.348,1.0,0.738999,0.849913,15737
bank_marketing_full,Pandera,0.05,20260805,ok,1.355,1.0,0.738999,0.849913,15737
bank_marketing_full,GreatExpectations,0.05,20260805,ok,4.106,1.0,0.626365,0.770264,13354
bank_marketing_full,SodaCore/DuckDB,0.05,20260805,ok,0.344,1.0,0.738999,0.849913,15737
bank_marketing_full,PyDeequ,0.05,20260805,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.05,20260806,ok,0.185,1.0,0.736991,0.848584,15676
bank_marketing_full,Pandera,0.05,20260806,ok,1.326,1.0,0.736991,0.848584,15676
bank_marketing_full,GreatExpectations,0.05,20260806,ok,4.739,1.0,0.62399,0.768465,13285
bank_marketing_full,SodaCore/DuckDB,0.05,20260806,ok,0.529,1.0,0.736991,0.848584,15676
bank_marketing_full,PyDeequ,0.05,20260806,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.05,20260807,ok,0.338,1.0,0.737604,0.84899,15648
bank_marketing_full,Pandera,0.05,20260807,ok,1.658,1.0,0.737604,0.84899,15648
bank_marketing_full,GreatExpectations,0.05,20260807,ok,4.169,1.0,0.624152,0.768588,13257
