condition,model,seed,roc_auc,pr_auc,brier,n_train,status,dataset,rate,rule_set
clean,logreg,20260803,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.05,naive
clean,hgb,20260803,0.9338031594371211,0.627013134831943,0.06194953392850486,33908,ok,bank_marketing_full,0.05,naive
corrupted,logreg,20260803,0.9033097832932495,0.5464226420081842,0.07151783117284528,35603,ok,bank_marketing_full,0.05,naive
corrupted,hgb,20260803,0.9330753393626408,0.6148335269339846,0.06263485827827737,35603,ok,bank_marketing_full,0.05,naive
quarantine,logreg,20260803,0.8514914343303716,0.45440840297119706,0.09301003534463807,4387,ok,bank_marketing_full,0.05,naive
quarantine,hgb,20260803,0.8619392731211996,0.4555739316856605,0.09268547490023026,4387,ok,bank_marketing_full,0.05,naive
repair,logreg,20260803,0.9019203051607434,0.5336302912514495,0.07248168700736449,35603,ok,bank_marketing_full,0.05,naive
repair,hgb,20260803,0.9156158804603177,0.5783410622404375,0.06878853673856046,35603,ok,bank_marketing_full,0.05,naive
clean,logreg,20260804,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.05,naive
clean,hgb,20260804,0.9347268509108304,0.6335437619938029,0.061466319262384266,33908,ok,bank_marketing_full,0.05,naive
corrupted,logreg,20260804,0.9029602538317507,0.5475708673404982,0.07149823725151061,35603,ok,bank_marketing_full,0.05,naive
corrupted,hgb,20260804,0.9342425343402085,0.628307664536503,0.06185233337936837,35603,ok,bank_marketing_full,0.05,naive
quarantine,logreg,20260804,0.8361600353834161,0.433368134603946,0.0992139266316073,4372,ok,bank_marketing_full,0.05,naive
quarantine,hgb,20260804,0.8627542103066931,0.44149749578520336,0.09735731536956553,4372,ok,bank_marketing_full,0.05,naive
repair,logreg,20260804,0.9026852229523536,0.5355640378220767,0.07229384866801394,35603,ok,bank_marketing_full,0.05,naive
repair,hgb,20260804,0.9184416351733953,0.5842713486198208,0.06804016606214994,35603,ok,bank_marketing_full,0.05,naive
clean,logreg,20260805,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.05,naive
clean,hgb,20260805,0.9341690967755527,0.6311523622153931,0.06192832469044535,33908,ok,bank_marketing_full,0.05,naive
corrupted,logreg,20260805,0.902801480149652,0.5470870030550897,0.07146746630676337,35603,ok,bank_marketing_full,0.05,naive
corrupted,hgb,20260805,0.9336642040451745,0.6279109327480974,0.0622384969511653,35603,ok,bank_marketing_full,0.05,naive
quarantine,logreg,20260805,0.8462779735354966,0.45208610514433034,0.09180566778163453,4376,ok,bank_marketing_full,0.05,naive
quarantine,hgb,20260805,0.8540809231943113,0.4586911057656641,0.09107339829498752,4376,ok,bank_marketing_full,0.05,naive
repair,logreg,20260805,0.9025228872831149,0.5352377074984843,0.07228249844336368,35603,ok,bank_marketing_full,0.05,naive
repair,hgb,20260805,0.9172504157293714,0.5922364728433209,0.06770807322601907,35603,ok,bank_marketing_full,0.05,naive
clean,logreg,20260806,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.05,naive
clean,hgb,20260806,0.9337443866493085,0.6253713897892842,0.061942296331646184,33908,ok,bank_marketing_full,0.05,naive
corrupted,logreg,20260806,0.9025851841645873,0.5466837539733588,0.0714376706832363,35603,ok,bank_marketing_full,0.05,naive
corrupted,hgb,20260806,0.9329507455996954,0.6186566216574844,0.062466725336210165,35603,ok,bank_marketing_full,0.05,naive
quarantine,logreg,20260806,0.8459603503843384,0.4478390558111884,0.09268248561533342,4419,ok,bank_marketing_full,0.05,naive
quarantine,hgb,20260806,0.8603970084764683,0.4499588669674937,0.09228241807324256,4419,ok,bank_marketing_full,0.05,naive
repair,logreg,20260806,0.9019914691165862,0.5338258327788509,0.072511332367068,35603,ok,bank_marketing_full,0.05,naive
repair,hgb,20260806,0.9102824868005639,0.5668907524508314,0.07104681436175883,35603,ok,bank_marketing_full,0.05,naive
clean,logreg,20260807,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.05,naive
clean,hgb,20260807,0.9340599635525351,0.6304585392520526,0.06171405739723577,33908,ok,bank_marketing_full,0.05,naive
corrupted,logreg,20260807,0.9028310370642193,0.5472660716033925,0.07147062732888348,35603,ok,bank_marketing_full,0.05,naive
corrupted,hgb,20260807,0.934213811082206,0.6245006351623745,0.06228609547349185,35603,ok,bank_marketing_full,0.05,naive
quarantine,logreg,20260807,0.8400244882826537,0.4353753600185872,0.09984396377268309,4387,ok,bank_marketing_full,0.05,naive
quarantine,hgb,20260807,0.8534632594668145,0.4367095091931605,0.10010638621100448,4387,ok,bank_marketing_full,0.05,naive
repair,logreg,20260807,0.9027238743021728,0.5348396616551745,0.07234813121450116,35603,ok,bank_marketing_full,0.05,naive
repair,hgb,20260807,0.9166656435427007,0.5728982105780183,0.06889859453204514,35603,ok,bank_marketing_full,0.05,naive
clean,logreg,20260803,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.1,naive
clean,hgb,20260803,0.9338031594371211,0.627013134831943,0.06194953392850486,33908,ok,bank_marketing_full,0.1,naive
corrupted,logreg,20260803,0.8975226909948872,0.5443523682657274,0.07223235834715186,37299,ok,bank_marketing_full,0.1,naive
corrupted,hgb,20260803,0.9317357290500967,0.6073408415701068,0.06330536749118224,37299,ok,bank_marketing_full,0.1,naive
quarantine,logreg,20260803,0.8481581722367808,0.4625306814675681,0.09005146224150788,3242,ok,bank_marketing_full,0.1,naive
quarantine,hgb,20260803,0.8568032665998832,0.4503801605891139,0.09405525765049186,3242,ok,bank_marketing_full,0.1,naive
repair,logreg,20260803,0.9030674165937974,0.535940763530447,0.07246424539848016,37299,ok,bank_marketing_full,0.1,naive
repair,hgb,20260803,0.9142157542598713,0.5673566705276301,0.06938388547419724,37299,ok,bank_marketing_full,0.1,naive
clean,logreg,20260804,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.1,naive
clean,hgb,20260804,0.9347268509108304,0.6335437619938029,0.061466319262384266,33908,ok,bank_marketing_full,0.1,naive
corrupted,logreg,20260804,0.8971836959208883,0.5454933401527153,0.07213934534731041,37299,ok,bank_marketing_full,0.1,naive
corrupted,hgb,20260804,0.9318405424163702,0.610886411190184,0.06315709638257025,37299,ok,bank_marketing_full,0.1,naive
quarantine,logreg,20260804,0.8406875483994476,0.43750501891674265,0.09144468862529259,3305,ok,bank_marketing_full,0.1,naive
quarantine,hgb,20260804,0.8526404404374363,0.41599201216781495,0.0957292409752231,3305,ok,bank_marketing_full,0.1,naive
repair,logreg,20260804,0.9019248523783692,0.5340306597143535,0.07262889736333274,37299,ok,bank_marketing_full,0.1,naive
repair,hgb,20260804,0.9131661048579289,0.5686469817069648,0.07049171100764609,37299,ok,bank_marketing_full,0.1,naive
clean,logreg,20260805,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.1,naive
clean,hgb,20260805,0.9341690967755527,0.6311523622153931,0.06192832469044535,33908,ok,bank_marketing_full,0.1,naive
