subgroup_column,subgroup,n_test,recall,positive_rate,base_rate,dataset,condition,rate,seed,rule_set
marital,single,3226,0.6386554621848739,0.15034097954122752,0.14755114693118412,bank_marketing_full,clean,0.05,20260803,naive
marital,married,6769,0.5829787234042553,0.10415127788447333,0.10415127788447333,bank_marketing_full,clean,0.05,20260803,naive
marital,divorced,1308,0.574468085106383,0.10091743119266056,0.10779816513761468,bank_marketing_full,clean,0.05,20260803,naive
age_band,30-44,5936,0.5894736842105263,0.09669811320754718,0.09602425876010781,bank_marketing_full,clean,0.05,20260803,naive
age_band,45-59,3395,0.5487465181058496,0.09455081001472754,0.10574374079528719,bank_marketing_full,clean,0.05,20260803,naive
age_band,<30,1699,0.6353790613718412,0.1618599175985874,0.16303708063566805,bank_marketing_full,clean,0.05,20260803,naive
age_band,60+,273,0.75,0.5567765567765568,0.4249084249084249,bank_marketing_full,clean,0.05,20260803,naive
marital,single,3226,0.6680672268907563,0.15654060756354618,0.14755114693118412,bank_marketing_full,corrupted,0.05,20260803,naive
marital,married,6769,0.5617021276595745,0.10045797015807358,0.10415127788447333,bank_marketing_full,corrupted,0.05,20260803,naive
marital,divorced,1308,0.6170212765957447,0.10474006116207951,0.10779816513761468,bank_marketing_full,corrupted,0.05,20260803,naive
age_band,30-44,5936,0.5964912280701754,0.09720350404312668,0.09602425876010781,bank_marketing_full,corrupted,0.05,20260803,naive
age_band,45-59,3395,0.5571030640668524,0.09425625920471281,0.10574374079528719,bank_marketing_full,corrupted,0.05,20260803,naive
age_band,<30,1699,0.631768953068592,0.16068275456150677,0.16303708063566805,bank_marketing_full,corrupted,0.05,20260803,naive
age_band,60+,273,0.7413793103448276,0.5567765567765568,0.4249084249084249,bank_marketing_full,corrupted,0.05,20260803,naive
marital,single,3226,0.46638655462184875,0.1351518908865468,0.14755114693118412,bank_marketing_full,quarantine,0.05,20260803,naive
marital,married,6769,0.4326241134751773,0.11168562564632885,0.10415127788447333,bank_marketing_full,quarantine,0.05,20260803,naive
marital,divorced,1308,0.5177304964539007,0.09938837920489296,0.10779816513761468,bank_marketing_full,quarantine,0.05,20260803,naive
age_band,30-44,5936,0.4982456140350877,0.11539757412398922,0.09602425876010781,bank_marketing_full,quarantine,0.05,20260803,naive
age_band,45-59,3395,0.3788300835654596,0.09337260677466863,0.10574374079528719,bank_marketing_full,quarantine,0.05,20260803,naive
age_band,<30,1699,0.45126353790613716,0.14067098293113597,0.16303708063566805,bank_marketing_full,quarantine,0.05,20260803,naive
age_band,60+,273,0.47413793103448276,0.2967032967032967,0.4249084249084249,bank_marketing_full,quarantine,0.05,20260803,naive
marital,single,3226,0.6113445378151261,0.1491010539367638,0.14755114693118412,bank_marketing_full,repair,0.05,20260803,naive
marital,married,6769,0.5333333333333333,0.10149209632146551,0.10415127788447333,bank_marketing_full,repair,0.05,20260803,naive
marital,divorced,1308,0.5886524822695035,0.11773700305810397,0.10779816513761468,bank_marketing_full,repair,0.05,20260803,naive
age_band,30-44,5936,0.5649122807017544,0.10141509433962265,0.09602425876010781,bank_marketing_full,repair,0.05,20260803,naive
age_band,45-59,3395,0.5264623955431755,0.09808541973490427,0.10574374079528719,bank_marketing_full,repair,0.05,20260803,naive
age_band,<30,1699,0.5812274368231047,0.15420835785756326,0.16303708063566805,bank_marketing_full,repair,0.05,20260803,naive
age_band,60+,273,0.6724137931034483,0.45787545787545786,0.4249084249084249,bank_marketing_full,repair,0.05,20260803,naive
marital,single,3226,0.6722689075630253,0.15468071915685058,0.14755114693118412,bank_marketing_full,clean,0.05,20260804,naive
marital,married,6769,0.5687943262411348,0.10267395479391343,0.10415127788447333,bank_marketing_full,clean,0.05,20260804,naive
marital,divorced,1308,0.5957446808510638,0.09785932721712538,0.10779816513761468,bank_marketing_full,clean,0.05,20260804,naive
