dataset,rate,seed,scoring,precision,recall,f1,tp,fp,fn
bank_marketing_full,0.0,20260803,restricted,,,,0,0,0
bank_marketing_full,0.0,20260804,restricted,,,,0,0,0
bank_marketing_full,0.0,20260805,restricted,,,,0,0,0
bank_marketing_full,0.0,20260806,restricted,,,,0,0,0
bank_marketing_full,0.0,20260807,restricted,,,,0,0,0
bank_marketing_full,0.0,20260808,restricted,,,,0,0,0
bank_marketing_full,0.0,20260809,restricted,,,,0,0,0
bank_marketing_full,0.0,20260810,restricted,,,,0,0,0
bank_marketing_full,0.0,20260811,restricted,,,,0,0,0
bank_marketing_full,0.0,20260812,restricted,,,,0,0,0
bank_marketing_full,0.01,20260803,naive,1.0,0.736676,0.848374,3027,0,1082
bank_marketing_full,0.01,20260803,restricted,1.0,0.736006,0.84793,3011,0,1080
bank_marketing_full,0.01,20260804,naive,1.0,0.737022,0.848604,3024,0,1079
bank_marketing_full,0.01,20260804,restricted,1.0,0.73643,0.848212,3012,0,1078
bank_marketing_full,0.01,20260805,naive,1.0,0.734048,0.846629,3014,0,1092
bank_marketing_full,0.01,20260805,restricted,1.0,0.733839,0.846491,2997,0,1087
bank_marketing_full,0.01,20260806,naive,1.0,0.734211,0.846738,3011,0,1090
bank_marketing_full,0.01,20260806,restricted,1.0,0.733513,0.846274,2992,0,1087
bank_marketing_full,0.01,20260807,naive,1.0,0.734425,0.84688,3006,0,1087
bank_marketing_full,0.01,20260807,restricted,1.0,0.73371,0.846405,2984,0,1083
bank_marketing_full,0.01,20260808,naive,1.0,0.730112,0.844006,2992,0,1106
bank_marketing_full,0.01,20260808,restricted,1.0,0.729723,0.843746,2978,0,1103
bank_marketing_full,0.01,20260809,naive,1.0,0.735265,0.847439,3019,0,1087
bank_marketing_full,0.01,20260809,restricted,1.0,0.734609,0.847002,2995,0,1082
bank_marketing_full,0.01,20260810,naive,1.0,0.734957,0.847234,3017,0,1088
bank_marketing_full,0.01,20260810,restricted,1.0,0.735164,0.847371,2998,0,1080
bank_marketing_full,0.01,20260811,naive,1.0,0.730441,0.844225,2997,0,1106
bank_marketing_full,0.01,20260811,restricted,1.0,0.729013,0.843271,2970,0,1104
bank_marketing_full,0.01,20260812,naive,1.0,0.730105,0.844001,3000,0,1109
bank_marketing_full,0.01,20260812,restricted,1.0,0.730073,0.84398,2986,0,1104
bank_marketing_full,0.02,20260803,naive,1.0,0.734435,0.846887,6087,0,2201
bank_marketing_full,0.02,20260803,restricted,1.0,0.734117,0.846676,6055,0,2193
bank_marketing_full,0.02,20260804,naive,1.0,0.738584,0.849639,6114,0,2164
bank_marketing_full,0.02,20260804,restricted,1.0,0.737647,0.849018,6076,0,2161
bank_marketing_full,0.02,20260805,naive,1.0,0.735767,0.847772,6087,0,2186
bank_marketing_full,0.02,20260805,restricted,1.0,0.735544,0.847624,6055,0,2177
bank_marketing_full,0.02,20260806,naive,1.0,0.73463,0.847016,6082,0,2197
