dataset,theta,n_rules,admitted,seed,retained_pct,auc
bank_marketing_full,0,0,(none),20260803,49.83,0.9270107910021476
bank_marketing_full,0,0,(none),20260804,49.94,0.9291485137949699
bank_marketing_full,0,0,(none),20260805,49.97,0.9284324028058758
bank_marketing_full,0,0,(none),20260806,50.16,0.9273637687703459
bank_marketing_full,0,0,(none),20260807,49.99,0.9277071973815302
bank_marketing_full,1,1,job,20260803,49.48,0.9270811213014257
bank_marketing_full,1,1,job,20260804,49.6,0.9256925526124448
bank_marketing_full,1,1,job,20260805,49.67,0.926321811744887
bank_marketing_full,1,1,job,20260806,49.82,0.9273713095729085
bank_marketing_full,1,1,job,20260807,49.64,0.9266809661503604
bank_marketing_full,5,2,job;education,20260803,47.48,0.9281878382845712
bank_marketing_full,5,2,job;education,20260804,47.67,0.9279734369735175
bank_marketing_full,5,2,job;education,20260805,47.74,0.9272898764839277
bank_marketing_full,5,2,job;education,20260806,48.04,0.9263265863233943
bank_marketing_full,5,2,job;education,20260807,47.68,0.9284863631217014
bank_marketing_full,10,2,job;education,20260803,47.48,0.9281878382845712
bank_marketing_full,10,2,job;education,20260804,47.67,0.9279734369735175
bank_marketing_full,10,2,job;education,20260805,47.74,0.9272898764839277
bank_marketing_full,10,2,job;education,20260806,48.04,0.9263265863233943
bank_marketing_full,10,2,job;education,20260807,47.68,0.9284863631217014
bank_marketing_full,20,2,job;education,20260803,47.48,0.9281878382845712
bank_marketing_full,20,2,job;education,20260804,47.67,0.9279734369735175
bank_marketing_full,20,2,job;education,20260805,47.74,0.9272898764839277
bank_marketing_full,20,2,job;education,20260806,48.04,0.9263265863233943
bank_marketing_full,20,2,job;education,20260807,47.68,0.9284863631217014
bank_marketing_full,30,3,job;education;contact,20260803,34.03,0.9026611605924176
bank_marketing_full,30,3,job;education;contact,20260804,34.14,0.9036383955536699
bank_marketing_full,30,3,job;education;contact,20260805,34.25,0.9070084143230684
bank_marketing_full,30,3,job;education;contact,20260806,34.46,0.9009893760323131
bank_marketing_full,30,3,job;education;contact,20260807,34.2,0.9062356146875735
bank_marketing_full,50,3,job;education;contact,20260803,34.03,0.9026611605924176
bank_marketing_full,50,3,job;education;contact,20260804,34.14,0.9036383955536699
bank_marketing_full,50,3,job;education;contact,20260805,34.25,0.9070084143230684
bank_marketing_full,50,3,job;education;contact,20260806,34.46,0.9009893760323131
bank_marketing_full,50,3,job;education;contact,20260807,34.2,0.9062356146875735
bank_marketing_full,100,4,job;education;contact;poutcome,20260803,8.69,0.8568032665998832
bank_marketing_full,100,4,job;education;contact;poutcome,20260804,8.86,0.8526404404374363
bank_marketing_full,100,4,job;education;contact;poutcome,20260805,8.64,0.8556560793798685
bank_marketing_full,100,4,job;education;contact;poutcome,20260806,8.58,0.8553220104582973
bank_marketing_full,100,4,job;education;contact;poutcome,20260807,8.59,0.844869548662883
diabetes_130us,0,0,(none),20260803,47.94,0.6748820323392346
diabetes_130us,0,0,(none),20260804,47.74,0.6756133563333111
diabetes_130us,0,0,(none),20260805,47.77,0.6769232692010494
diabetes_130us,0,0,(none),20260806,47.89,0.6751041925143834
diabetes_130us,0,0,(none),20260807,47.68,0.6717391577738834
diabetes_130us,1,0,(none),20260803,47.94,0.6748820323392346
diabetes_130us,1,0,(none),20260804,47.74,0.6756133563333111
diabetes_130us,1,0,(none),20260805,47.77,0.6769232692010494
diabetes_130us,1,0,(none),20260806,47.89,0.6751041925143834
diabetes_130us,1,0,(none),20260807,47.68,0.6717391577738834
diabetes_130us,5,1,race,20260803,46.85,0.6734292955373467
diabetes_130us,5,1,race,20260804,46.7,0.6750638620897702
diabetes_130us,5,1,race,20260805,46.68,0.6745209908873655
diabetes_130us,5,1,race,20260806,46.81,0.6745405171709977
diabetes_130us,5,1,race,20260807,46.61,0.6755963857643761
diabetes_130us,10,1,race,20260803,46.85,0.6734292955373467
diabetes_130us,10,1,race,20260804,46.7,0.6750638620897702
diabetes_130us,10,1,race,20260805,46.68,0.6745209908873655
diabetes_130us,10,1,race,20260806,46.81,0.6745405171709977
diabetes_130us,10,1,race,20260807,46.61,0.6755963857643761
diabetes_130us,20,1,race,20260803,46.85,0.6734292955373467
diabetes_130us,20,1,race,20260804,46.7,0.6750638620897702
diabetes_130us,20,1,race,20260805,46.68,0.6745209908873655
diabetes_130us,20,1,race,20260806,46.81,0.6745405171709977
diabetes_130us,20,1,race,20260807,46.61,0.6755963857643761
diabetes_130us,30,1,race,20260803,46.85,0.6734292955373467
diabetes_130us,30,1,race,20260804,46.7,0.6750638620897702
diabetes_130us,30,1,race,20260805,46.68,0.6745209908873655
diabetes_130us,30,1,race,20260806,46.81,0.6745405171709977
diabetes_130us,30,1,race,20260807,46.61,0.6755963857643761
diabetes_130us,50,3,race;payer_code;medical_specialty,20260803,12.74,0.6158849247070087
diabetes_130us,50,3,race;payer_code;medical_specialty,20260804,12.69,0.6207211472628209
diabetes_130us,50,3,race;payer_code;medical_specialty,20260805,12.77,0.6321981373296774
diabetes_130us,50,3,race;payer_code;medical_specialty,20260806,12.73,0.6199687308306787
diabetes_130us,50,3,race;payer_code;medical_specialty,20260807,12.69,0.6201322887794916
diabetes_130us,100,4,race;weight;payer_code;medical_specialty,20260803,0.47,0.5364239991147254
diabetes_130us,100,4,race;weight;payer_code;medical_specialty,20260804,0.46,0.5152069699575893
diabetes_130us,100,4,race;weight;payer_code;medical_specialty,20260805,0.51,0.5317742346464309
diabetes_130us,100,4,race;weight;payer_code;medical_specialty,20260806,0.5,0.5177521734989933
diabetes_130us,100,4,race;weight;payer_code;medical_specialty,20260807,0.47,0.5174541054806101
