dataset,rule_set,rate,model,condition,auc,corrupted_auc,delta_auc,helps
bank_marketing_full,census_informed,0.05,hgb,clean,0.9341006914650695,0.9336293268859851,0.0005,yes
bank_marketing_full,census_informed,0.05,hgb,quarantine,0.9314696410320306,0.9336293268859851,-0.0022,NO
bank_marketing_full,census_informed,0.05,hgb,repair,0.9329770967258366,0.9336293268859851,-0.0007,NO
bank_marketing_full,census_informed,0.05,logreg,clean,0.906018788193786,0.9028975477006919,0.0031,yes
bank_marketing_full,census_informed,0.05,logreg,quarantine,0.905909973276002,0.9028975477006919,0.003,yes
bank_marketing_full,census_informed,0.05,logreg,repair,0.9059343008902998,0.9028975477006919,0.003,yes
bank_marketing_full,census_informed,0.1,hgb,clean,0.9341006914650695,0.9320124878721916,0.0021,yes
bank_marketing_full,census_informed,0.1,hgb,quarantine,0.9276528202374225,0.9320124878721916,-0.0044,NO
bank_marketing_full,census_informed,0.1,hgb,repair,0.9301340701644774,0.9320124878721916,-0.0019,NO
bank_marketing_full,census_informed,0.1,logreg,clean,0.906018788193786,0.8972414304273431,0.0088,yes
bank_marketing_full,census_informed,0.1,logreg,quarantine,0.9050384990180284,0.8972414304273431,0.0078,yes
bank_marketing_full,census_informed,0.1,logreg,repair,0.9057324195851088,0.8972414304273431,0.0085,yes
bank_marketing_full,census_informed,0.2,hgb,clean,0.9341006914650695,0.9317353349579026,0.0024,yes
bank_marketing_full,census_informed,0.2,hgb,quarantine,0.9178198941074275,0.9317353349579026,-0.0139,NO
bank_marketing_full,census_informed,0.2,hgb,repair,0.929145906723531,0.9317353349579026,-0.0026,NO
bank_marketing_full,census_informed,0.2,logreg,clean,0.906018788193786,0.8807804723073689,0.0252,yes
bank_marketing_full,census_informed,0.2,logreg,quarantine,0.9024722464361561,0.8807804723073689,0.0217,yes
bank_marketing_full,census_informed,0.2,logreg,repair,0.9053038291664904,0.8807804723073689,0.0245,yes
bank_marketing_full,naive,0.05,hgb,clean,0.9341006914650695,0.9336293268859851,0.0005,yes
bank_marketing_full,naive,0.05,hgb,quarantine,0.8585269349130973,0.9336293268859851,-0.0751,NO
bank_marketing_full,naive,0.05,hgb,repair,0.9156512123412698,0.9336293268859851,-0.018,NO
bank_marketing_full,naive,0.05,logreg,clean,0.906018788193786,0.9028975477006919,0.0031,yes
bank_marketing_full,naive,0.05,logreg,quarantine,0.8439828563832552,0.9028975477006919,-0.0589,NO
bank_marketing_full,naive,0.05,logreg,repair,0.9023687517629941,0.9028975477006919,-0.0005,NO
bank_marketing_full,naive,0.1,hgb,clean,0.9341006914650695,0.9320124878721916,0.0021,yes
bank_marketing_full,naive,0.1,hgb,quarantine,0.8530582691076736,0.9320124878721916,-0.079,NO
bank_marketing_full,naive,0.1,hgb,repair,0.9124772241237171,0.9320124878721916,-0.0195,NO
bank_marketing_full,naive,0.1,logreg,clean,0.906018788193786,0.8972414304273431,0.0088,yes
bank_marketing_full,naive,0.1,logreg,quarantine,0.8428213302703276,0.8972414304273431,-0.0544,NO
bank_marketing_full,naive,0.1,logreg,repair,0.9024372934900062,0.8972414304273431,0.0052,yes
bank_marketing_full,naive,0.2,hgb,clean,0.9341006914650695,0.9317353349579026,0.0024,yes
bank_marketing_full,naive,0.2,hgb,quarantine,0.8428128572881516,0.9317353349579026,-0.0889,NO
bank_marketing_full,naive,0.2,hgb,repair,0.9113350767365709,0.9317353349579026,-0.0204,NO
bank_marketing_full,naive,0.2,logreg,clean,0.906018788193786,0.8807804723073689,0.0252,yes
bank_marketing_full,naive,0.2,logreg,quarantine,0.8351099464171032,0.8807804723073689,-0.0457,NO
bank_marketing_full,naive,0.2,logreg,repair,0.9017374463826201,0.8807804723073689,0.021,yes
diabetes_130us,census_informed,0.05,hgb,clean,0.6808330514125489,0.6799590484120465,0.0009,yes
diabetes_130us,census_informed,0.05,hgb,quarantine,0.6775072531261027,0.6799590484120465,-0.0025,NO
diabetes_130us,census_informed,0.05,hgb,repair,0.6749011534485856,0.6799590484120465,-0.0051,NO
diabetes_130us,census_informed,0.05,logreg,clean,0.6710835078686481,0.6703910712553983,0.0007,yes
diabetes_130us,census_informed,0.05,logreg,quarantine,0.6693456779755536,0.6703910712553983,-0.001,NO
diabetes_130us,census_informed,0.05,logreg,repair,0.6709376996700807,0.6703910712553983,0.0005,yes
diabetes_130us,census_informed,0.1,hgb,clean,0.6808330514125489,0.6795114399166201,0.0013,yes
diabetes_130us,census_informed,0.1,hgb,quarantine,0.6746302102899712,0.6795114399166201,-0.0049,NO
diabetes_130us,census_informed,0.1,hgb,repair,0.6737993256248095,0.6795114399166201,-0.0057,NO
diabetes_130us,census_informed,0.1,logreg,clean,0.6710835078686481,0.6706085781597629,0.0005,yes
diabetes_130us,census_informed,0.1,logreg,quarantine,0.6686107042962204,0.6706085781597629,-0.002,NO
diabetes_130us,census_informed,0.1,logreg,repair,0.67091443954961,0.6706085781597629,0.0003,yes
diabetes_130us,census_informed,0.2,hgb,clean,0.6808330514125489,0.6768372756349366,0.004,yes
diabetes_130us,census_informed,0.2,hgb,quarantine,0.6635547588443974,0.6768372756349366,-0.0133,NO
diabetes_130us,census_informed,0.2,hgb,repair,0.6729518054386763,0.6768372756349366,-0.0039,NO
diabetes_130us,census_informed,0.2,logreg,clean,0.6710835078686481,0.6697405390130082,0.0013,yes
diabetes_130us,census_informed,0.2,logreg,quarantine,0.6626684401041067,0.6697405390130082,-0.0071,NO
diabetes_130us,census_informed,0.2,logreg,repair,0.6702078904044709,0.6697405390130082,0.0005,yes
diabetes_130us,naive,0.05,hgb,clean,0.6808330514125489,0.6799590484120465,0.0009,yes
diabetes_130us,naive,0.05,hgb,quarantine,0.5269968356044469,0.6799590484120465,-0.153,NO
diabetes_130us,naive,0.05,hgb,repair,0.6749011534485856,0.6799590484120465,-0.0051,NO
diabetes_130us,naive,0.05,logreg,clean,0.6710835078686481,0.6703910712553983,0.0007,yes
diabetes_130us,naive,0.05,logreg,quarantine,0.5443170605939851,0.6703910712553983,-0.1261,NO
diabetes_130us,naive,0.05,logreg,repair,0.6709376996700807,0.6703910712553983,0.0005,yes
diabetes_130us,naive,0.1,hgb,clean,0.6808330514125489,0.6795114399166201,0.0013,yes
diabetes_130us,naive,0.1,hgb,quarantine,0.5237222965396697,0.6795114399166201,-0.1558,NO
diabetes_130us,naive,0.1,hgb,repair,0.6737993256248095,0.6795114399166201,-0.0057,NO
diabetes_130us,naive,0.1,logreg,clean,0.6710835078686481,0.6706085781597629,0.0005,yes
diabetes_130us,naive,0.1,logreg,quarantine,0.5433845332852776,0.6706085781597629,-0.1272,NO
diabetes_130us,naive,0.1,logreg,repair,0.67091443954961,0.6706085781597629,0.0003,yes
diabetes_130us,naive,0.2,hgb,clean,0.6808330514125489,0.6768372756349366,0.004,yes
diabetes_130us,naive,0.2,hgb,quarantine,0.5245456527550129,0.6768372756349366,-0.1523,NO
diabetes_130us,naive,0.2,hgb,repair,0.6729518054386763,0.6768372756349366,-0.0039,NO
diabetes_130us,naive,0.2,logreg,clean,0.6710835078686481,0.6697405390130082,0.0013,yes
diabetes_130us,naive,0.2,logreg,quarantine,0.5237771384370031,0.6697405390130082,-0.146,NO
diabetes_130us,naive,0.2,logreg,repair,0.6702078904044709,0.6697405390130082,0.0005,yes
