dataset,rule_set,condition,subgroup_column,subgroup,recall,recall_sd,n_test,base_rate
bank_marketing_full,census_informed,clean,age_band,30-44,0.5926,0.0049,5936.0,0.096
bank_marketing_full,census_informed,clean,age_band,45-59,0.5437,0.0072,3395.0,0.1057
bank_marketing_full,census_informed,clean,age_band,60+,0.7672,0.0149,273.0,0.4249
bank_marketing_full,census_informed,clean,age_band,<30,0.6368,0.0112,1699.0,0.163
bank_marketing_full,census_informed,clean,marital,divorced,0.583,0.0108,1308.0,0.1078
bank_marketing_full,census_informed,clean,marital,married,0.5728,0.0058,6769.0,0.1042
bank_marketing_full,census_informed,clean,marital,single,0.6563,0.0111,3226.0,0.1476
bank_marketing_full,census_informed,corrupted,age_band,30-44,0.5799,0.014,5936.0,0.096
bank_marketing_full,census_informed,corrupted,age_band,45-59,0.5495,0.0155,3395.0,0.1057
bank_marketing_full,census_informed,corrupted,age_band,60+,0.7575,0.0181,273.0,0.4249
bank_marketing_full,census_informed,corrupted,age_band,<30,0.6337,0.0161,1699.0,0.163
bank_marketing_full,census_informed,corrupted,marital,divorced,0.5915,0.0227,1308.0,0.1078
bank_marketing_full,census_informed,corrupted,marital,married,0.5627,0.0116,6769.0,0.1042
bank_marketing_full,census_informed,corrupted,marital,single,0.6535,0.0102,3226.0,0.1476
bank_marketing_full,census_informed,quarantine,age_band,30-44,0.5628,0.0179,5936.0,0.096
bank_marketing_full,census_informed,quarantine,age_band,45-59,0.5393,0.0234,3395.0,0.1057
bank_marketing_full,census_informed,quarantine,age_band,60+,0.7483,0.0478,273.0,0.4249
bank_marketing_full,census_informed,quarantine,age_band,<30,0.6188,0.0277,1699.0,0.163
bank_marketing_full,census_informed,quarantine,marital,divorced,0.5674,0.0388,1308.0,0.1078
bank_marketing_full,census_informed,quarantine,marital,married,0.5522,0.0147,6769.0,0.1042
bank_marketing_full,census_informed,quarantine,marital,single,0.6371,0.0192,3226.0,0.1476
bank_marketing_full,census_informed,repair,age_band,30-44,0.5827,0.0143,5936.0,0.096
bank_marketing_full,census_informed,repair,age_band,45-59,0.5441,0.0129,3395.0,0.1057
bank_marketing_full,census_informed,repair,age_band,60+,0.7649,0.0238,273.0,0.4249
bank_marketing_full,census_informed,repair,age_band,<30,0.6279,0.0128,1699.0,0.163
bank_marketing_full,census_informed,repair,marital,divorced,0.5872,0.0228,1308.0,0.1078
bank_marketing_full,census_informed,repair,marital,married,0.5637,0.0082,6769.0,0.1042
bank_marketing_full,census_informed,repair,marital,single,0.6511,0.0143,3226.0,0.1476
bank_marketing_full,naive,clean,age_band,30-44,0.5926,0.0049,5936.0,0.096
bank_marketing_full,naive,clean,age_band,45-59,0.5437,0.0072,3395.0,0.1057
bank_marketing_full,naive,clean,age_band,60+,0.7672,0.0149,273.0,0.4249
bank_marketing_full,naive,clean,age_band,<30,0.6368,0.0112,1699.0,0.163
bank_marketing_full,naive,clean,marital,divorced,0.583,0.0108,1308.0,0.1078
bank_marketing_full,naive,clean,marital,married,0.5728,0.0058,6769.0,0.1042
bank_marketing_full,naive,clean,marital,single,0.6563,0.0111,3226.0,0.1476
bank_marketing_full,naive,corrupted,age_band,30-44,0.5799,0.014,5936.0,0.096
bank_marketing_full,naive,corrupted,age_band,45-59,0.5495,0.0155,3395.0,0.1057
bank_marketing_full,naive,corrupted,age_band,60+,0.7575,0.0181,273.0,0.4249
bank_marketing_full,naive,corrupted,age_band,<30,0.6337,0.0161,1699.0,0.163
bank_marketing_full,naive,corrupted,marital,divorced,0.5915,0.0227,1308.0,0.1078
bank_marketing_full,naive,corrupted,marital,married,0.5627,0.0116,6769.0,0.1042
bank_marketing_full,naive,corrupted,marital,single,0.6535,0.0102,3226.0,0.1476
bank_marketing_full,naive,quarantine,age_band,30-44,0.4539,0.0327,5936.0,0.096
bank_marketing_full,naive,quarantine,age_band,45-59,0.4004,0.0535,3395.0,0.1057
bank_marketing_full,naive,quarantine,age_band,60+,0.458,0.0529,273.0,0.4249
bank_marketing_full,naive,quarantine,age_band,<30,0.4599,0.0438,1699.0,0.163
bank_marketing_full,naive,quarantine,marital,divorced,0.4378,0.0597,1308.0,0.1078
bank_marketing_full,naive,quarantine,marital,married,0.4236,0.0273,6769.0,0.1042
bank_marketing_full,naive,quarantine,marital,single,0.4676,0.0221,3226.0,0.1476
bank_marketing_full,naive,repair,age_band,30-44,0.5442,0.0118,5936.0,0.096
bank_marketing_full,naive,repair,age_band,45-59,0.5097,0.0158,3395.0,0.1057
bank_marketing_full,naive,repair,age_band,60+,0.6782,0.0457,273.0,0.4249
bank_marketing_full,naive,repair,age_band,<30,0.5817,0.0201,1699.0,0.163
bank_marketing_full,naive,repair,marital,divorced,0.5669,0.0233,1308.0,0.1078
bank_marketing_full,naive,repair,marital,married,0.524,0.0072,6769.0,0.1042
bank_marketing_full,naive,repair,marital,single,0.5959,0.0207,3226.0,0.1476
diabetes_130us,census_informed,clean,gender,Female,0.2666,0.0089,13667.0,0.1142
diabetes_130us,census_informed,clean,gender,Male,0.2554,0.0086,11775.0,0.1085
diabetes_130us,census_informed,clean,race,?,0.1154,0.0308,577.0,0.0901
diabetes_130us,census_informed,clean,race,AfricanAmerican,0.279,0.0052,4820.0,0.1108
diabetes_130us,census_informed,clean,race,Asian,0.1818,0.1031,148.0,0.0743
diabetes_130us,census_informed,clean,race,Caucasian,0.2568,0.0023,19029.0,0.1131
diabetes_130us,census_informed,clean,race,Hispanic,0.3841,0.0066,518.0,0.1216
diabetes_130us,census_informed,clean,race,Other,0.3308,0.0195,350.0,0.0743
diabetes_130us,census_informed,corrupted,gender,Female,0.2703,0.0054,13667.0,0.1142
diabetes_130us,census_informed,corrupted,gender,Male,0.2487,0.0083,11775.0,0.1085
diabetes_130us,census_informed,corrupted,race,?,0.1346,0.0524,577.0,0.0901
diabetes_130us,census_informed,corrupted,race,AfricanAmerican,0.275,0.0094,4820.0,0.1108
diabetes_130us,census_informed,corrupted,race,Asian,0.2,0.115,148.0,0.0743
diabetes_130us,census_informed,corrupted,race,Caucasian,0.2556,0.004,19029.0,0.1131
diabetes_130us,census_informed,corrupted,race,Hispanic,0.4,0.0276,518.0,0.1216
diabetes_130us,census_informed,corrupted,race,Other,0.3179,0.037,350.0,0.0743
diabetes_130us,census_informed,quarantine,gender,Female,0.2646,0.0071,13667.0,0.1142
diabetes_130us,census_informed,quarantine,gender,Male,0.2399,0.0155,11775.0,0.1085
diabetes_130us,census_informed,quarantine,race,?,0.1154,0.03,577.0,0.0901
diabetes_130us,census_informed,quarantine,race,AfricanAmerican,0.2609,0.019,4820.0,0.1108
diabetes_130us,census_informed,quarantine,race,Asian,0.1515,0.1012,148.0,0.0743
diabetes_130us,census_informed,quarantine,race,Caucasian,0.2511,0.0101,19029.0,0.1131
diabetes_130us,census_informed,quarantine,race,Hispanic,0.3958,0.0489,518.0,0.1216
diabetes_130us,census_informed,quarantine,race,Other,0.2718,0.059,350.0,0.0743
diabetes_130us,census_informed,repair,gender,Female,0.2702,0.0062,13667.0,0.1142
diabetes_130us,census_informed,repair,gender,Male,0.2371,0.0057,11775.0,0.1085
diabetes_130us,census_informed,repair,race,?,0.1115,0.0443,577.0,0.0901
diabetes_130us,census_informed,repair,race,AfricanAmerican,0.2667,0.0111,4820.0,0.1108
diabetes_130us,census_informed,repair,race,Asian,0.1636,0.0922,148.0,0.0743
diabetes_130us,census_informed,repair,race,Caucasian,0.2516,0.0048,19029.0,0.1131
diabetes_130us,census_informed,repair,race,Hispanic,0.4,0.0301,518.0,0.1216
diabetes_130us,census_informed,repair,race,Other,0.3051,0.0553,350.0,0.0743
diabetes_130us,naive,clean,gender,Female,0.2666,0.0089,13667.0,0.1142
diabetes_130us,naive,clean,gender,Male,0.2554,0.0086,11775.0,0.1085
diabetes_130us,naive,clean,race,?,0.1154,0.0308,577.0,0.0901
diabetes_130us,naive,clean,race,AfricanAmerican,0.279,0.0052,4820.0,0.1108
diabetes_130us,naive,clean,race,Asian,0.1818,0.1031,148.0,0.0743
diabetes_130us,naive,clean,race,Caucasian,0.2568,0.0023,19029.0,0.1131
diabetes_130us,naive,clean,race,Hispanic,0.3841,0.0066,518.0,0.1216
diabetes_130us,naive,clean,race,Other,0.3308,0.0195,350.0,0.0743
diabetes_130us,naive,corrupted,gender,Female,0.2703,0.0054,13667.0,0.1142
diabetes_130us,naive,corrupted,gender,Male,0.2487,0.0083,11775.0,0.1085
diabetes_130us,naive,corrupted,race,?,0.1346,0.0524,577.0,0.0901
diabetes_130us,naive,corrupted,race,AfricanAmerican,0.275,0.0094,4820.0,0.1108
diabetes_130us,naive,corrupted,race,Asian,0.2,0.115,148.0,0.0743
diabetes_130us,naive,corrupted,race,Caucasian,0.2556,0.004,19029.0,0.1131
diabetes_130us,naive,corrupted,race,Hispanic,0.4,0.0276,518.0,0.1216
diabetes_130us,naive,corrupted,race,Other,0.3179,0.037,350.0,0.0743
diabetes_130us,naive,quarantine,gender,Female,0.1218,0.023,13667.0,0.1142
diabetes_130us,naive,quarantine,gender,Male,0.1415,0.0225,11775.0,0.1085
diabetes_130us,naive,quarantine,race,?,0.1436,0.0751,577.0,0.0901
diabetes_130us,naive,quarantine,race,AfricanAmerican,0.1557,0.0527,4820.0,0.1108
diabetes_130us,naive,quarantine,race,Asian,0.0485,0.0582,148.0,0.0743
diabetes_130us,naive,quarantine,race,Caucasian,0.125,0.0193,19029.0,0.1131
diabetes_130us,naive,quarantine,race,Hispanic,0.127,0.0498,518.0,0.1216
diabetes_130us,naive,quarantine,race,Other,0.0974,0.068,350.0,0.0743
diabetes_130us,naive,repair,gender,Female,0.2702,0.0062,13667.0,0.1142
diabetes_130us,naive,repair,gender,Male,0.2371,0.0057,11775.0,0.1085
diabetes_130us,naive,repair,race,?,0.1115,0.0443,577.0,0.0901
diabetes_130us,naive,repair,race,AfricanAmerican,0.2667,0.0111,4820.0,0.1108
diabetes_130us,naive,repair,race,Asian,0.1636,0.0922,148.0,0.0743
diabetes_130us,naive,repair,race,Caucasian,0.2516,0.0048,19029.0,0.1131
diabetes_130us,naive,repair,race,Hispanic,0.4,0.0301,518.0,0.1216
diabetes_130us,naive,repair,race,Other,0.3051,0.0553,350.0,0.0743
