dataset,rule_set,condition,subgroup_column,max_recall,min_recall,recall_gap
bank_marketing_full,census_informed,clean,age_band,0.7672,0.5437,0.2235
bank_marketing_full,census_informed,clean,marital,0.6563,0.5728,0.0835
bank_marketing_full,census_informed,corrupted,age_band,0.7575,0.5495,0.208
bank_marketing_full,census_informed,corrupted,marital,0.6535,0.5627,0.0908
bank_marketing_full,census_informed,quarantine,age_band,0.7483,0.5393,0.209
bank_marketing_full,census_informed,quarantine,marital,0.6371,0.5522,0.0849
bank_marketing_full,census_informed,repair,age_band,0.7649,0.5441,0.2208
bank_marketing_full,census_informed,repair,marital,0.6511,0.5637,0.0874
bank_marketing_full,naive,clean,age_band,0.7672,0.5437,0.2235
bank_marketing_full,naive,clean,marital,0.6563,0.5728,0.0835
bank_marketing_full,naive,corrupted,age_band,0.7575,0.5495,0.208
bank_marketing_full,naive,corrupted,marital,0.6535,0.5627,0.0908
bank_marketing_full,naive,quarantine,age_band,0.4599,0.4004,0.0595
bank_marketing_full,naive,quarantine,marital,0.4676,0.4236,0.044
bank_marketing_full,naive,repair,age_band,0.6782,0.5097,0.1685
bank_marketing_full,naive,repair,marital,0.5959,0.524,0.0719
diabetes_130us,census_informed,clean,gender,0.2666,0.2554,0.0112
diabetes_130us,census_informed,clean,race,0.3841,0.1154,0.2687
diabetes_130us,census_informed,corrupted,gender,0.2703,0.2487,0.0216
diabetes_130us,census_informed,corrupted,race,0.4,0.1346,0.2654
diabetes_130us,census_informed,quarantine,gender,0.2646,0.2399,0.0247
diabetes_130us,census_informed,quarantine,race,0.3958,0.1154,0.2804
diabetes_130us,census_informed,repair,gender,0.2702,0.2371,0.0331
diabetes_130us,census_informed,repair,race,0.4,0.1115,0.2885
diabetes_130us,naive,clean,gender,0.2666,0.2554,0.0112
diabetes_130us,naive,clean,race,0.3841,0.1154,0.2687
diabetes_130us,naive,corrupted,gender,0.2703,0.2487,0.0216
diabetes_130us,naive,corrupted,race,0.4,0.1346,0.2654
diabetes_130us,naive,quarantine,gender,0.1415,0.1218,0.0197
diabetes_130us,naive,quarantine,race,0.1557,0.0485,0.1072
diabetes_130us,naive,repair,gender,0.2702,0.2371,0.0331
diabetes_130us,naive,repair,race,0.4,0.1115,0.2885
