dataset,scoring,rate,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,fp_mean,n_seeds
bank_marketing_full,naive,0.01,1.0,0.0,0.7337,0.0026,0.8464,0.0017,0.0,10
bank_marketing_full,naive,0.02,1.0,0.0,0.7351,0.0019,0.8473,0.0013,0.0,10
bank_marketing_full,naive,0.05,1.0,0.0,0.7368,0.0019,0.8484,0.0013,0.0,10
bank_marketing_full,naive,0.1,1.0,0.0,0.7401,0.0008,0.8506,0.0005,0.0,10
bank_marketing_full,naive,0.15,1.0,0.0,0.7446,0.0005,0.8536,0.0003,0.0,10
bank_marketing_full,naive,0.2,1.0,0.0,0.7473,0.0007,0.8554,0.0005,0.0,10
bank_marketing_full,naive,0.3,1.0,0.0,0.7526,0.0006,0.8588,0.0004,0.0,10
bank_marketing_full,restricted,0.01,1.0,0.0,0.7332,0.0027,0.8461,0.0018,0.0,10
bank_marketing_full,restricted,0.02,1.0,0.0,0.7347,0.0019,0.8471,0.0012,0.0,10
bank_marketing_full,restricted,0.05,1.0,0.0,0.7363,0.0019,0.8481,0.0013,0.0,10
bank_marketing_full,restricted,0.1,1.0,0.0,0.7397,0.0009,0.8504,0.0006,0.0,10
bank_marketing_full,restricted,0.15,1.0,0.0,0.7442,0.0005,0.8533,0.0003,0.0,10
bank_marketing_full,restricted,0.2,1.0,0.0,0.747,0.0007,0.8552,0.0005,0.0,10
bank_marketing_full,restricted,0.3,1.0,0.0,0.7522,0.0006,0.8586,0.0004,0.0,10
diabetes_130us,naive,0.01,0.0361,0.0,0.7802,0.0007,0.069,0.0001,191024.5,10
diabetes_130us,naive,0.02,0.0696,0.0,0.7802,0.0003,0.1278,0.0001,191002.8,10
diabetes_130us,naive,0.05,0.1576,0.0,0.7803,0.0002,0.2623,0.0001,190932.0,10
diabetes_130us,naive,0.1,0.2725,0.0001,0.7802,0.0002,0.4039,0.0001,190826.1,10
diabetes_130us,naive,0.15,0.3598,0.0001,0.7802,0.0001,0.4925,0.0001,190710.4,10
diabetes_130us,naive,0.2,0.4285,0.0,0.7802,0.0001,0.5532,0.0001,190595.8,10
diabetes_130us,naive,0.3,0.5297,0.0,0.7803,0.0001,0.631,0.0001,190355.2,10
diabetes_130us,restricted,0.01,1.0,0.0,0.7797,0.0006,0.8762,0.0004,0.0,10
diabetes_130us,restricted,0.02,1.0,0.0,0.7797,0.0003,0.8762,0.0002,0.0,10
diabetes_130us,restricted,0.05,1.0,0.0,0.7797,0.0002,0.8762,0.0001,0.0,10
diabetes_130us,restricted,0.1,1.0,0.0,0.7797,0.0001,0.8762,0.0001,0.0,10
diabetes_130us,restricted,0.15,1.0,0.0,0.7797,0.0001,0.8762,0.0001,0.0,10
diabetes_130us,restricted,0.2,1.0,0.0,0.7797,0.0001,0.8762,0.0,0.0,10
diabetes_130us,restricted,0.3,1.0,0.0,0.7797,0.0,0.8762,0.0,0.0,10
online_retail_ii,naive,0.01,0.1129,0.0001,0.5444,0.0007,0.1871,0.0002,276136.5,10
online_retail_ii,naive,0.02,0.2048,0.0002,0.5454,0.0005,0.2978,0.0003,275642.6,10
online_retail_ii,naive,0.05,0.4004,0.0002,0.548,0.0003,0.4627,0.0002,273734.1,10
online_retail_ii,naive,0.1,0.5871,0.0003,0.552,0.0003,0.569,0.0003,269311.2,10
online_retail_ii,naive,0.15,0.6949,0.0002,0.5555,0.0002,0.6174,0.0002,263595.8,10
online_retail_ii,naive,0.2,0.7652,0.0002,0.559,0.0002,0.6461,0.0002,256331.7,10
online_retail_ii,naive,0.3,0.8509,0.0002,0.5653,0.0002,0.6793,0.0002,237809.6,10
online_retail_ii,restricted,0.01,1.0,0.0,0.5215,0.001,0.6855,0.0008,0.0,10
online_retail_ii,restricted,0.02,1.0,0.0,0.5227,0.0006,0.6865,0.0005,0.0,10
online_retail_ii,restricted,0.05,1.0,0.0,0.5251,0.0003,0.6886,0.0003,0.0,10
online_retail_ii,restricted,0.1,1.0,0.0,0.5293,0.0002,0.6922,0.0002,0.0,10
online_retail_ii,restricted,0.15,1.0,0.0,0.5329,0.0002,0.6953,0.0002,0.0,10
online_retail_ii,restricted,0.2,1.0,0.0,0.5366,0.0002,0.6984,0.0002,0.0,10
online_retail_ii,restricted,0.3,1.0,0.0,0.5431,0.0002,0.7039,0.0001,0.0,10
