dataset,defect_class,n_injected,recall,recall_sd
bank_marketing_full,ALL,44031.6667,0.7399,0.0004
bank_marketing_full,D1,4967.3333,1.0,0.0
bank_marketing_full,D3,4521.0,0.0,0.0
bank_marketing_full,D4,9902.0,1.0,0.0
bank_marketing_full,D5,9918.6667,1.0,0.0
bank_marketing_full,D6,4973.0,0.0,0.0
bank_marketing_full,D7,9749.6667,0.7992,0.0025
diabetes_130us,ALL,91367.3333,0.7797,0.0001
diabetes_130us,D1,10177.0,1.0,0.0
diabetes_130us,D4,40708.0,1.0,0.0
diabetes_130us,D5,20354.0,1.0,0.0
diabetes_130us,D7,20128.3333,0.0,0.0
online_retail_ii,ALL,658895.3333,0.5294,0.0002
online_retail_ii,D1,114994.0,1.0,0.0
online_retail_ii,D2,203064.0,1.0,0.0
online_retail_ii,D3,106737.0,0.0,0.0
online_retail_ii,D5,116746.0,0.0618,0.0007
online_retail_ii,D7,117354.3333,0.2004,0.0019
