dataset,rule_set,rate,model,condition,roc_auc,roc_sd,pr_auc,brier,n_train,pct_train_retained
bank_marketing_full,census_informed,0.05,hgb,clean,0.9341,0.0004,0.6295,0.0618,33908.0,95.2
bank_marketing_full,census_informed,0.05,hgb,corrupted,0.9336,0.0006,0.6228,0.0623,35603.0,100.0
bank_marketing_full,census_informed,0.05,hgb,quarantine,0.9315,0.0012,0.6108,0.0631,24284.0,68.2
bank_marketing_full,census_informed,0.05,hgb,repair,0.933,0.0008,0.6205,0.0623,35603.0,100.0
bank_marketing_full,census_informed,0.05,logreg,clean,0.906,0.0,0.5457,0.0714,33908.0,95.2
bank_marketing_full,census_informed,0.05,logreg,corrupted,0.9029,0.0003,0.547,0.0715,35603.0,100.0
bank_marketing_full,census_informed,0.05,logreg,quarantine,0.9059,0.0007,0.5446,0.0714,24284.0,68.2
bank_marketing_full,census_informed,0.05,logreg,repair,0.9059,0.0001,0.5457,0.0713,35603.0,100.0
bank_marketing_full,census_informed,0.1,hgb,clean,0.9341,0.0004,0.6295,0.0618,33908.0,90.9
bank_marketing_full,census_informed,0.1,hgb,corrupted,0.932,0.0004,0.614,0.0631,37299.0,100.0
bank_marketing_full,census_informed,0.1,hgb,quarantine,0.9277,0.0009,0.5965,0.0649,17800.2,47.7
bank_marketing_full,census_informed,0.1,hgb,repair,0.9301,0.0011,0.6085,0.0636,37299.0,100.0
bank_marketing_full,census_informed,0.1,logreg,clean,0.906,0.0,0.5457,0.0714,33908.0,90.9
bank_marketing_full,census_informed,0.1,logreg,corrupted,0.8972,0.0016,0.5447,0.0723,37299.0,100.0
bank_marketing_full,census_informed,0.1,logreg,quarantine,0.905,0.0009,0.5448,0.0715,17800.2,47.7
bank_marketing_full,census_informed,0.1,logreg,repair,0.9057,0.0003,0.5457,0.0713,37299.0,100.0
bank_marketing_full,census_informed,0.2,hgb,clean,0.9341,0.0004,0.6295,0.0618,33908.0,83.3
bank_marketing_full,census_informed,0.2,hgb,corrupted,0.9317,0.0008,0.6156,0.0633,40690.0,100.0
bank_marketing_full,census_informed,0.2,hgb,quarantine,0.9178,0.0044,0.5704,0.0705,8997.4,22.1
bank_marketing_full,census_informed,0.2,hgb,repair,0.9291,0.0013,0.6108,0.0636,40690.0,100.0
bank_marketing_full,census_informed,0.2,logreg,clean,0.906,0.0,0.5457,0.0714,33908.0,83.3
bank_marketing_full,census_informed,0.2,logreg,corrupted,0.8808,0.0022,0.5297,0.075,40690.0,100.0
bank_marketing_full,census_informed,0.2,logreg,quarantine,0.9025,0.0031,0.5388,0.0721,8997.4,22.1
bank_marketing_full,census_informed,0.2,logreg,repair,0.9053,0.0002,0.5456,0.0712,40690.0,100.0
bank_marketing_full,naive,0.05,hgb,clean,0.9341,0.0004,0.6295,0.0618,33908.0,95.2
bank_marketing_full,naive,0.05,hgb,corrupted,0.9336,0.0006,0.6228,0.0623,35603.0,100.0
bank_marketing_full,naive,0.05,hgb,quarantine,0.8585,0.0044,0.4485,0.0947,4388.2,12.3
bank_marketing_full,naive,0.05,hgb,repair,0.9157,0.0032,0.5789,0.0689,35603.0,100.0
bank_marketing_full,naive,0.05,logreg,clean,0.906,0.0,0.5457,0.0714,33908.0,95.2
bank_marketing_full,naive,0.05,logreg,corrupted,0.9029,0.0003,0.547,0.0715,35603.0,100.0
bank_marketing_full,naive,0.05,logreg,quarantine,0.844,0.006,0.4446,0.0953,4388.2,12.3
bank_marketing_full,naive,0.05,logreg,repair,0.9024,0.0004,0.5346,0.0724,35603.0,100.0
bank_marketing_full,naive,0.1,hgb,clean,0.9341,0.0004,0.6295,0.0618,33908.0,90.9
bank_marketing_full,naive,0.1,hgb,corrupted,0.932,0.0004,0.614,0.0631,37299.0,100.0
bank_marketing_full,naive,0.1,hgb,quarantine,0.8531,0.0048,0.4346,0.0982,3234.4,8.7
bank_marketing_full,naive,0.1,hgb,repair,0.9125,0.0012,0.5649,0.0704,37299.0,100.0
bank_marketing_full,naive,0.1,logreg,clean,0.906,0.0,0.5457,0.0714,33908.0,90.9
bank_marketing_full,naive,0.1,logreg,corrupted,0.8972,0.0016,0.5447,0.0723,37299.0,100.0
bank_marketing_full,naive,0.1,logreg,quarantine,0.8428,0.0074,0.445,0.0957,3234.4,8.7
bank_marketing_full,naive,0.1,logreg,repair,0.9024,0.0004,0.5349,0.0725,37299.0,100.0
bank_marketing_full,naive,0.2,hgb,clean,0.9341,0.0004,0.6295,0.0618,33908.0,83.3
bank_marketing_full,naive,0.2,hgb,corrupted,0.9317,0.0008,0.6156,0.0633,40690.0,100.0
bank_marketing_full,naive,0.2,hgb,quarantine,0.8428,0.0107,0.4227,0.1073,1619.4,4.0
bank_marketing_full,naive,0.2,hgb,repair,0.9113,0.0012,0.5681,0.0701,40690.0,100.0
bank_marketing_full,naive,0.2,logreg,clean,0.906,0.0,0.5457,0.0714,33908.0,83.3
bank_marketing_full,naive,0.2,logreg,corrupted,0.8808,0.0022,0.5297,0.075,40690.0,100.0
bank_marketing_full,naive,0.2,logreg,quarantine,0.8351,0.0092,0.437,0.0969,1619.4,4.0
bank_marketing_full,naive,0.2,logreg,repair,0.9017,0.0003,0.5351,0.0729,40690.0,100.0
diabetes_130us,census_informed,0.05,hgb,clean,0.6808,0.0006,0.231,0.094,76324.0,100.0
diabetes_130us,census_informed,0.05,hgb,corrupted,0.68,0.0009,0.2305,0.0941,76324.0,100.0
diabetes_130us,census_informed,0.05,hgb,quarantine,0.6775,0.002,0.2272,0.0942,52149.6,68.3
diabetes_130us,census_informed,0.05,hgb,repair,0.6749,0.0015,0.2251,0.0946,76324.0,100.0
diabetes_130us,census_informed,0.05,logreg,clean,0.6711,0.0,0.2202,0.0947,76324.0,100.0
diabetes_130us,census_informed,0.05,logreg,corrupted,0.6704,0.0005,0.2195,0.0948,76324.0,100.0
diabetes_130us,census_informed,0.05,logreg,quarantine,0.6693,0.0017,0.2189,0.0948,52149.6,68.3
diabetes_130us,census_informed,0.05,logreg,repair,0.6709,0.0006,0.2193,0.0948,76324.0,100.0
diabetes_130us,census_informed,0.1,hgb,clean,0.6808,0.0006,0.231,0.094,76324.0,100.0
diabetes_130us,census_informed,0.1,hgb,corrupted,0.6795,0.0012,0.2309,0.0943,76324.0,100.0
diabetes_130us,census_informed,0.1,hgb,quarantine,0.6746,0.0008,0.2223,0.0945,35667.0,46.7
diabetes_130us,census_informed,0.1,hgb,repair,0.6738,0.0026,0.2229,0.0948,76324.0,100.0
diabetes_130us,census_informed,0.1,logreg,clean,0.6711,0.0,0.2202,0.0947,76324.0,100.0
diabetes_130us,census_informed,0.1,logreg,corrupted,0.6706,0.0002,0.2196,0.0949,76324.0,100.0
diabetes_130us,census_informed,0.1,logreg,quarantine,0.6686,0.0017,0.2173,0.0949,35667.0,46.7
diabetes_130us,census_informed,0.1,logreg,repair,0.6709,0.0002,0.2191,0.0949,76324.0,100.0
diabetes_130us,census_informed,0.2,hgb,clean,0.6808,0.0006,0.231,0.094,76324.0,100.0
diabetes_130us,census_informed,0.2,hgb,corrupted,0.6768,0.0013,0.2278,0.0951,76324.0,100.0
diabetes_130us,census_informed,0.2,hgb,quarantine,0.6636,0.0026,0.2107,0.0952,15660.6,20.5
diabetes_130us,census_informed,0.2,hgb,repair,0.673,0.0013,0.2222,0.0953,76324.0,100.0
diabetes_130us,census_informed,0.2,logreg,clean,0.6711,0.0,0.2202,0.0947,76324.0,100.0
diabetes_130us,census_informed,0.2,logreg,corrupted,0.6697,0.0006,0.2191,0.0955,76324.0,100.0
diabetes_130us,census_informed,0.2,logreg,quarantine,0.6627,0.0059,0.2153,0.095,15660.6,20.5
diabetes_130us,census_informed,0.2,logreg,repair,0.6702,0.0004,0.2188,0.0954,76324.0,100.0
diabetes_130us,naive,0.05,hgb,clean,0.6808,0.0006,0.231,0.094,76324.0,100.0
diabetes_130us,naive,0.05,hgb,corrupted,0.68,0.0009,0.2305,0.0941,76324.0,100.0
diabetes_130us,naive,0.05,hgb,quarantine,0.527,0.0071,0.1217,0.1225,533.8,0.7
diabetes_130us,naive,0.05,hgb,repair,0.6749,0.0015,0.2251,0.0946,76324.0,100.0
diabetes_130us,naive,0.05,logreg,clean,0.6711,0.0,0.2202,0.0947,76324.0,100.0
diabetes_130us,naive,0.05,logreg,corrupted,0.6704,0.0005,0.2195,0.0948,76324.0,100.0
diabetes_130us,naive,0.05,logreg,quarantine,0.5443,0.015,0.1379,0.1148,533.8,0.7
diabetes_130us,naive,0.05,logreg,repair,0.6709,0.0006,0.2193,0.0948,76324.0,100.0
diabetes_130us,naive,0.1,hgb,clean,0.6808,0.0006,0.231,0.094,76324.0,100.0
diabetes_130us,naive,0.1,hgb,corrupted,0.6795,0.0012,0.2309,0.0943,76324.0,100.0
diabetes_130us,naive,0.1,hgb,quarantine,0.5237,0.0097,0.1216,0.1253,366.8,0.5
diabetes_130us,naive,0.1,hgb,repair,0.6738,0.0026,0.2229,0.0948,76324.0,100.0
diabetes_130us,naive,0.1,logreg,clean,0.6711,0.0,0.2202,0.0947,76324.0,100.0
diabetes_130us,naive,0.1,logreg,corrupted,0.6706,0.0002,0.2196,0.0949,76324.0,100.0
diabetes_130us,naive,0.1,logreg,quarantine,0.5434,0.0228,0.1378,0.1169,366.8,0.5
diabetes_130us,naive,0.1,logreg,repair,0.6709,0.0002,0.2191,0.0949,76324.0,100.0
diabetes_130us,naive,0.2,hgb,clean,0.6808,0.0006,0.231,0.094,76324.0,100.0
diabetes_130us,naive,0.2,hgb,corrupted,0.6768,0.0013,0.2278,0.0951,76324.0,100.0
diabetes_130us,naive,0.2,hgb,quarantine,0.5245,0.027,0.1206,0.1445,162.6,0.2
diabetes_130us,naive,0.2,hgb,repair,0.673,0.0013,0.2222,0.0953,76324.0,100.0
diabetes_130us,naive,0.2,logreg,clean,0.6711,0.0,0.2202,0.0947,76324.0,100.0
diabetes_130us,naive,0.2,logreg,corrupted,0.6697,0.0006,0.2191,0.0955,76324.0,100.0
diabetes_130us,naive,0.2,logreg,quarantine,0.5238,0.0422,0.1295,0.1334,162.6,0.2
diabetes_130us,naive,0.2,logreg,repair,0.6702,0.0004,0.2188,0.0954,76324.0,100.0
